car_name;reviews_count;fuel_type;engine_displacement;no_cylinder;seating_capacity;transmission_type;fuel_tank_capacity;body_type;rating;starting_price;ending_price;max_torque_nm;max_torque_rpm;max_power_bhp;max_power_rp;churn
Maruti Swift Dzire Tour;1;CNG;1197;4;5;Manual;55;Sedan;4.5;13500000;25,700,000;95;4000;70.4;6000;True
Mercedes-Benz AMG GT;16;Petrol;3982;8;2;Automatic;75;Coupe;4.5;27100000;27,100,000;700;5500;576.63;6250;True
Porsche Panamera;1;Petrol;2894;8;5;Automatic;0;Wagon;4.5;15800000;27,100,000;770;4500;680;6000;True
Porsche 911;8;Petrol;2981;6;4;Automatic;64;Coupe;4.5;17300000;31,400,000;450;5000;641;6500;True
Mercedes-Benz Maybach S-Class;7;Petrol;5980;12;4;Automatic;0;Sedan;4.5;25000000;32,000,000;900;4000;603.46;5500;True
Bentley Flying Spur;9;Petrol;5950;12;4;Automatic;90;Sedan;4.5;32200000;34,100,000;900;4500;626;6000;True
Lamborghini Urus;33;Petrol;3996;8;5;Automatic;75;SUV;4.5;31500000;34,300,000;850;4500;641;6000;True
Ferrari Portofino;5;Petrol;3855;8;4;Automatic;81;Convertible;4.5;35000000;35,000,000;760;5250;591.79;7500;True
Mercedes-Benz AMG GLE 53;1;Petrol;2999;6;5;Automatic;85;Coupe;4.5;30000000;35,000,000;520;5800;435;6100;True
Ferrari Roma;2;Petrol;3855;8;2;Automatic;80;Coupe;4.5;37600000;37,600,000;760;5750;611.5;7500;True
Aston Martin DBX;5;Diesel;3982;8;5;Automatic;85;SUV;4.5;38200000;38,200,000;700;5000;542;6500;True
Bentley Continental;17;Petrol;5998;12;4;Automatic;90;Convertible;4.5;32900000;39,100,000;700;1600;562;6000;True
Maserati GranTurismo;3;Petrol;4691;8;4;Automatic;86;Coupe;5;40,200,000;40,200,000;520;4750;460;7000;True
Bentley Bentayga;1;Petrol;3956;8;4;Automatic;85;SUV;4;41000000;41,000,000;770;4500;542;6000;True
Land Rover Range Rover;17;Petrol;4367;8;7;Automatic;90;SUV;4.5;23900000;41,700,000;700;3000;345.98;4000;True
Mclaren GT;1;Petrol;3994;8;;Automatic;72;Coupe;4.5;45000000;45,000,000;630;0;611.51;0;True
BMW X5 M;30;Petrol;4395;8;5;Automatic;83;SUV;5;32,100,000;49,900,000;750;5600;616.87;6000;True
Ferrari 812;3;Petrol;6496;8;2;Automatic;92;Convertible;4.5;57500000;57,500,000;718;7000;788.52;8500;True
Rolls-Royce Cullinan;15;Petrol;6750;12;5;Automatic;0;SUV;4.5;69500000;69,500,000;850;1600;563;5000;True
Rolls Royce Wraith;6;Petrol;6592;12;4;Automatic;83;Coupe;4.5;62200000;72,100,000;900;4500;591;5500;True
Jaguar I-Pace;6;Electric;0;0;5;Electric;0;SUV;4.5;70600000;76,400,000;696;0;394.26;0;True
Rolls-Royce Ghost;15;Petrol;6750;12;5;Automatic;0;Sedan;4.5;69500000;79,500,000;820;1500;563;5250;True
Lamborghini Aventador;52;Petrol;6498;12;2;Automatic;90;Coupe;4.5;62500000;90,000,000;720;6750;759.01;8500;True
